MERCHANT,ACCT_STATUS_K_USD,CONTRACT_DURATION_MONTH,HISTORY,CREDIT_PROGRAM,AMOUNT_K_USD,ACCOUNT_TYPE,ACCT_AGE,STATE,PRESENT_RESIDENT,ESTABLISHED_MONTH,NUMBER_CREDITS,IS_DEFAULT
978,"0 to 200 USD",18,"DELAY IN PAST","RETRAINING",2427,"UNKNOWN/NONE","above 7 YRS","NY","2 to 3 YRS",42,2,"No"
979,"NONE",24,"DELAY IN PAST","NEW CAR",2538,"up to 100 K USD","above 7 YRS","NY","4",47,2,"Yes"
980,"0 to 200 USD",15,"ALL CREDITS PAID BACK","NEW CAR",1264,"100 to 500 K USD","1 to 4 YRS","NJ","2 to 3 YRS",25,1,"Yes"
981,"0 to 200 USD",30,"CRITICAL ACCOUNT","FURNITURE",8386,"up to 100 K USD","4 to 7 YRS","NJ","2 to 3 YRS",49,1,"Yes"
982,"NONE",48,"EXISTING CREDITS PAID BACK","RETRAINING",4844,"up to 100 K USD","TBD","CT","2 to 3 YRS",33,1,"Yes"
983,"above 200 USD",21,"EXISTING CREDITS PAID BACK","NEW CAR",2923,"100 to 500 K USD","1 to 4 YRS","PA","1 to 2 YRS",28,1,"No"
984,"0 USD",36,"EXISTING CREDITS PAID BACK","USED CAR",8229,"up to 100 K USD","1 to 4 YRS","NJ","2 to 3 YRS",26,1,"Yes"
985,"NONE",24,"CRITICAL ACCOUNT","FURNITURE",2028,"up to 100 K USD","4 to 7 YRS","NJ","2 to 3 YRS",30,2,"No"
986,"0 USD",15,"CRITICAL ACCOUNT","FURNITURE",1433,"up to 100 K USD","1 to 4 YRS","NY","above 4 YRS",25,2,"No"
987,"above 200 USD",42,"NONE TAKEN","RETRAINING",6289,"up to 100 K USD","up to 1 YR","NJ","1 to 2 YRS",33,2,"No"
988,"NONE",13,"EXISTING CREDITS PAID BACK","ELECTRONICS",1409,"100 to 500 K USD","TBD","NJ","4",64,1,"No"
989,"0 USD",24,"EXISTING CREDITS PAID BACK","USED CAR",6579,"up to 100 K USD","TBD","NY","2 to 3 YRS",29,1,"No"
990,"0 to 200 USD",24,"CRITICAL ACCOUNT","ELECTRONICS",1743,"up to 100 K USD","above 7 YRS","NY","2 to 3 YRS",48,2,"No"
991,"NONE",12,"CRITICAL ACCOUNT","EDUCATION",3565,"UNKNOWN/NONE","up to 1 YR","NJ","1 to 2 YRS",37,2,"No"
992,"NONE",15,"ALL CREDITS PAID BACK","ELECTRONICS",1569,"100 to 500 K USD","above 7 YRS","NY","4",34,1,"No"
993,"0 USD",18,"EXISTING CREDITS PAID BACK","ELECTRONICS",1936,"UNKNOWN/NONE","4 to 7 YRS","NJ","4",23,2,"No"
994,"0 USD",36,"EXISTING CREDITS PAID BACK","FURNITURE",3959,"up to 100 K USD","TBD","NY","above 4 YRS",30,1,"No"
995,"NONE",12,"EXISTING CREDITS PAID BACK","NEW CAR",2390,"UNKNOWN/NONE","above 7 YRS","NY","above 4 YRS",50,1,"No"
996,"NONE",12,"EXISTING CREDITS PAID BACK","FURNITURE",1736,"up to 100 K USD","4 to 7 YRS","CT","4",31,1,"No"
997,"0 USD",30,"EXISTING CREDITS PAID BACK","USED CAR",3857,"up to 100 K USD","1 to 4 YRS","NY","4",40,1,"No"
998,"NONE",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",804,"up to 100 K USD","above 7 YRS","NY","4",38,1,"No"
999,"0 USD",45,"EXISTING CREDITS PAID BACK","ELECTRONICS",1845,"up to 100 K USD","1 to 4 YRS","NY","4",23,1,"Yes"
1000,"0 to 200 USD",45,"CRITICAL ACCOUNT","USED CAR",4576,"100 to 500 K USD","TBD","CT","4",27,1,"No"
1,"0 USD",6,"CRITICAL ACCOUNT","ELECTRONICS",1169,"UNKNOWN/NONE","above 7 YRS","NY","4",67,2,"No"
2,"0 to 200 USD",48,"EXISTING CREDITS PAID BACK","ELECTRONICS",5951,"up to 100 K USD","1 to 4 YRS","NJ","2 to 3 YRS",22,1,"Yes"
3,"NONE",12,"CRITICAL ACCOUNT","EDUCATION",2096,"up to 100 K USD","4 to 7 YRS","NJ","above 4 YRS",49,1,"No"
4,"0 USD",42,"EXISTING CREDITS PAID BACK","FURNITURE",7882,"up to 100 K USD","4 to 7 YRS","NJ","4",45,1,"No"
5,"0 USD",24,"DELAY IN PAST","NEW CAR",4870,"up to 100 K USD","1 to 4 YRS","CT","4",53,2,"Yes"
6,"NONE",36,"EXISTING CREDITS PAID BACK","EDUCATION",9055,"UNKNOWN/NONE","1 to 4 YRS","NJ","4",35,1,"No"
7,"NONE",24,"EXISTING CREDITS PAID BACK","FURNITURE",2835,"500 to 1000 K USD","above 7 YRS","CT","4",53,1,"No"
8,"0 to 200 USD",36,"EXISTING CREDITS PAID BACK","USED CAR",6948,"up to 100 K USD","1 to 4 YRS","NJ","2 to 3 YRS",35,1,"No"
9,"NONE",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",3059,"above 1000 K USD","4 to 7 YRS","NJ","4",61,1,"No"
10,"0 to 200 USD",30,"CRITICAL ACCOUNT","NEW CAR",5234,"up to 100 K USD","TBD","NY","2 to 3 YRS",28,2,"Yes"
11,"0 to 200 USD",12,"EXISTING CREDITS PAID BACK","NEW CAR",1295,"up to 100 K USD","up to 1 YR","CT","1 to 2 YRS",25,1,"Yes"
12,"0 USD",48,"EXISTING CREDITS PAID BACK","RETRAINING",4308,"up to 100 K USD","up to 1 YR","CT","4",24,1,"Yes"
13,"0 to 200 USD",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",1567,"up to 100 K USD","1 to 4 YRS","PA","1 to 2 YRS",22,1,"No"
14,"0 USD",24,"CRITICAL ACCOUNT","NEW CAR",1199,"up to 100 K USD","above 7 YRS","NY","4",60,2,"Yes"
15,"0 USD",15,"EXISTING CREDITS PAID BACK","NEW CAR",1403,"up to 100 K USD","1 to 4 YRS","NJ","4",28,1,"No"
16,"0 USD",24,"EXISTING CREDITS PAID BACK","ELECTRONICS",1282,"100 to 500 K USD","1 to 4 YRS","NY","2 to 3 YRS",32,1,"Yes"
17,"NONE",24,"CRITICAL ACCOUNT","ELECTRONICS",2424,"UNKNOWN/NONE","above 7 YRS","NY","4",53,2,"No"
18,"0 USD",30,"NONE TAKEN","RETRAINING",8072,"UNKNOWN/NONE","up to 1 YR","NJ","above 4 YRS",25,3,"No"
19,"0 to 200 USD",24,"EXISTING CREDITS PAID BACK","USED CAR",12579,"up to 100 K USD","above 7 YRS","NY","2 to 3 YRS",44,1,"Yes"
20,"NONE",24,"EXISTING CREDITS PAID BACK","ELECTRONICS",3430,"500 to 1000 K USD","above 7 YRS","CT","2 to 3 YRS",31,1,"No"
21,"NONE",9,"CRITICAL ACCOUNT","NEW CAR",2134,"up to 100 K USD","1 to 4 YRS","NY","4",48,3,"No"
22,"0 USD",6,"EXISTING CREDITS PAID BACK","ELECTRONICS",2647,"500 to 1000 K USD","1 to 4 YRS","NJ","above 4 YRS",44,1,"No"
23,"0 USD",10,"CRITICAL ACCOUNT","NEW CAR",2241,"up to 100 K USD","up to 1 YR","PA","above 4 YRS",48,2,"No"
24,"0 to 200 USD",12,"CRITICAL ACCOUNT","USED CAR",1804,"100 to 500 K USD","up to 1 YR","CT","4",44,1,"No"
25,"NONE",10,"CRITICAL ACCOUNT","FURNITURE",2069,"UNKNOWN/NONE","1 to 4 YRS","NJ","1 to 2 YRS",26,2,"No"
26,"0 USD",6,"EXISTING CREDITS PAID BACK","FURNITURE",1374,"up to 100 K USD","1 to 4 YRS","PA","2 to 3 YRS",36,1,"No"
27,"NONE",6,"NONE TAKEN","ELECTRONICS",426,"up to 100 K USD","above 7 YRS","NY","4",39,1,"No"
28,"above 200 USD",12,"ALL CREDITS PAID BACK","ELECTRONICS",409,"above 1000 K USD","1 to 4 YRS","CT","above 4 YRS",42,2,"No"
29,"0 to 200 USD",7,"EXISTING CREDITS PAID BACK","ELECTRONICS",2415,"up to 100 K USD","1 to 4 YRS","CT","2 to 3 YRS",34,1,"No"
30,"0 USD",60,"DELAY IN PAST","RETRAINING",6836,"up to 100 K USD","above 7 YRS","CT","4",63,2,"Yes"
31,"0 to 200 USD",18,"EXISTING CREDITS PAID BACK","RETRAINING",1913,"above 1000 K USD","up to 1 YR","CT","above 4 YRS",36,1,"No"
32,"0 USD",24,"EXISTING CREDITS PAID BACK","FURNITURE",4020,"up to 100 K USD","1 to 4 YRS","NJ","2 to 3 YRS",27,1,"No"
33,"0 to 200 USD",18,"EXISTING CREDITS PAID BACK","NEW CAR",5866,"100 to 500 K USD","1 to 4 YRS","NJ","2 to 3 YRS",30,2,"No"
34,"NONE",12,"CRITICAL ACCOUNT","RETRAINING",1264,"UNKNOWN/NONE","above 7 YRS","NY","4",57,1,"No"
35,"above 200 USD",12,"EXISTING CREDITS PAID BACK","FURNITURE",1474,"up to 100 K USD","up to 1 YR","NY","1 to 2 YRS",33,1,"No"
36,"0 to 200 USD",45,"CRITICAL ACCOUNT","ELECTRONICS",4746,"up to 100 K USD","up to 1 YR","NY","2 to 3 YRS",25,2,"Yes"
37,"NONE",48,"CRITICAL ACCOUNT","EDUCATION",6110,"up to 100 K USD","1 to 4 YRS","PA","above 4 YRS",31,1,"No"
38,"above 200 USD",18,"EXISTING CREDITS PAID BACK","ELECTRONICS",2100,"up to 100 K USD","1 to 4 YRS","NY","2 to 3 YRS",37,1,"Yes"
39,"above 200 USD",10,"EXISTING CREDITS PAID BACK","OTHER",1225,"up to 100 K USD","1 to 4 YRS","NJ","2 to 3 YRS",37,1,"No"
40,"0 to 200 USD",9,"EXISTING CREDITS PAID BACK","ELECTRONICS",458,"up to 100 K USD","1 to 4 YRS","NY","above 4 YRS",24,1,"No"
41,"NONE",30,"EXISTING CREDITS PAID BACK","ELECTRONICS",2333,"500 to 1000 K USD","above 7 YRS","NY","2 to 3 YRS",30,1,"No"
42,"0 to 200 USD",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",1158,"500 to 1000 K USD","1 to 4 YRS","CT","1 to 2 YRS",26,1,"No"
43,"0 to 200 USD",18,"DELAY IN PAST","OTHER",6204,"up to 100 K USD","1 to 4 YRS","NJ","4",44,1,"No"
44,"0 USD",30,"CRITICAL ACCOUNT","USED CAR",6187,"100 to 500 K USD","4 to 7 YRS","PA","4",24,2,"No"
45,"0 USD",48,"CRITICAL ACCOUNT","USED CAR",6143,"up to 100 K USD","above 7 YRS","NY","4",58,2,"Yes"
46,"NONE",11,"CRITICAL ACCOUNT","NEW CAR",1393,"up to 100 K USD","up to 1 YR","NY","4",35,2,"No"
47,"NONE",36,"EXISTING CREDITS PAID BACK","ELECTRONICS",2299,"500 to 1000 K USD","above 7 YRS","NY","4",39,1,"No"
48,"0 USD",6,"EXISTING CREDITS PAID BACK","USED CAR",1352,"500 to 1000 K USD","TBD","PA","2 to 3 YRS",23,1,"No"
49,"NONE",11,"CRITICAL ACCOUNT","NEW CAR",7228,"up to 100 K USD","1 to 4 YRS","PA","4",39,2,"No"
50,"NONE",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",2073,"100 to 500 K USD","1 to 4 YRS","NY","2 to 3 YRS",28,1,"No"
51,"0 to 200 USD",24,"DELAY IN PAST","FURNITURE",2333,"UNKNOWN/NONE","up to 1 YR","NY","2 to 3 YRS",29,1,"No"
52,"0 to 200 USD",27,"DELAY IN PAST","USED CAR",5965,"up to 100 K USD","above 7 YRS","PA","2 to 3 YRS",30,2,"No"
53,"NONE",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",1262,"up to 100 K USD","1 to 4 YRS","CT","2 to 3 YRS",25,1,"No"
54,"NONE",18,"EXISTING CREDITS PAID BACK","USED CAR",3378,"UNKNOWN/NONE","1 to 4 YRS","NJ","1 to 2 YRS",31,1,"No"
55,"0 to 200 USD",36,"DELAY IN PAST","NEW CAR",2225,"up to 100 K USD","above 7 YRS","NY","4",57,2,"Yes"
56,"NONE",6,"ALL CREDITS PAID BACK","NEW CAR",783,"UNKNOWN/NONE","1 to 4 YRS","PA","2 to 3 YRS",26,1,"No"
57,"0 to 200 USD",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",6468,"UNKNOWN/NONE","TBD","NJ","1 to 2 YRS",52,1,"Yes"
58,"NONE",36,"CRITICAL ACCOUNT","ELECTRONICS",9566,"up to 100 K USD","1 to 4 YRS","NJ","2 to 3 YRS",31,2,"No"
59,"above 200 USD",18,"EXISTING CREDITS PAID BACK","NEW CAR",1961,"up to 100 K USD","above 7 YRS","CT","2 to 3 YRS",23,1,"No"
60,"0 USD",36,"CRITICAL ACCOUNT","FURNITURE",6229,"up to 100 K USD","up to 1 YR","NY","4",23,2,"Yes"
61,"0 to 200 USD",9,"EXISTING CREDITS PAID BACK","RETRAINING",1391,"up to 100 K USD","1 to 4 YRS","NJ","1 to 2 YRS",27,1,"No"
62,"0 to 200 USD",15,"CRITICAL ACCOUNT","ELECTRONICS",1537,"UNKNOWN/NONE","above 7 YRS","NY","4",50,2,"No"
63,"0 to 200 USD",36,"NONE TAKEN","RETRAINING",1953,"up to 100 K USD","above 7 YRS","NY","4",61,1,"Yes"
64,"0 to 200 USD",48,"NONE TAKEN","RETRAINING",14421,"up to 100 K USD","1 to 4 YRS","NJ","2 to 3 YRS",25,1,"Yes"
65,"NONE",24,"EXISTING CREDITS PAID BACK","ELECTRONICS",3181,"up to 100 K USD","up to 1 YR","NY","4",26,1,"No"
66,"NONE",27,"EXISTING CREDITS PAID BACK","OTHER",5190,"UNKNOWN/NONE","above 7 YRS","NY","4",48,4,"No"
67,"NONE",12,"EXISTING CREDITS PAID BACK","ELECTRONICS",2171,"up to 100 K USD","up to 1 YR","NJ","2 to 3 YRS",29,1,"No"
68,"0 to 200 USD",12,"EXISTING CREDITS PAID BACK","NEW CAR",1007,"above 1000 K USD","1 to 4 YRS","NY","1 to 2 YRS",22,1,"No"
69,"NONE",36,"EXISTING CREDITS PAID BACK","EDUCATION",1819,"up to 100 K USD","1 to 4 YRS","NY","4",37,1,"Yes"
70,"NONE",36,"EXISTING CREDITS PAID BACK","ELECTRONICS",2394,"UNKNOWN/NONE","1 to 4 YRS","NY","4",25,1,"No"
71,"NONE",36,"EXISTING CREDITS PAID BACK","USED CAR",8133,"up to 100 K USD","1 to 4 YRS","PA","2 to 3 YRS",30,1,"No"
72,"NONE",7,"CRITICAL ACCOUNT","ELECTRONICS",730,"UNKNOWN/NONE","above 7 YRS","NY","2 to 3 YRS",46,2,"No"
73,"0 USD",8,"CRITICAL ACCOUNT","OTHER",1164,"up to 100 K USD","above 7 YRS","CT","4",51,2,"No"
